transaction_number,T_date,transaction_type,Punk_Nr,T_from,T_to,amount
344,2021-04-28,8,240,8,8,171968
345,2021-04-28,8,240,8,8,175056
346,2021-04-27,2,240,92,8,144689
347,2021-04-27,3,240,92,8,146428
348,2021-04-26,8,240,8,8,172150
349,2021-04-25,8,240,8,8,143441
350,2021-04-25,3,240,93,8,108791
351,2021-04-25,2,240,93,8,126922
352,2021-04-25,8,240,8,8,131410
353,2021-04-25,8,240,8,8,137573
354,2021-04-25,8,240,8,8,147657
355,2021-04-24,8,240,8,8,151970
356,2021-04-23,3,240,93,8,131234
357,2021-04-23,8,240,8,8,161418
358,2021-04-20,8,240,8,8,173129
359,2021-04-19,9,240,94,91,107930
360,2021-04-19,3,240,91,8,108930
361,2021-04-19,8,240,8,8,146938
362,2021-04-16,8,240,8,8,307500
363,2021-02-14,8,240,8,8,910755
364,2021-01-10,2,240,95,8,9499
365,2021-01-09,3,240,95,8,9201
366,2020-05-27,9,240,23,94,1443
367,2020-05-27,3,240,94,8,1443
368,2020-05-27,2,240,94,8,1134
369,2020-05-27,3,240,94,8,1108
370,2020-05-26,8,240,8,8,1625
371,2020-05-26,9,240,96,23,813
372,2020-05-26,3,240,23,8,815
373,2020-04-29,8,240,8,8,1047
374,2020-02-06,8,240,8,8,2153
375,2020-01-02,9,240,6,96,255
376,2020-01-01,3,240,96,8,264
377,2017-06-23,4,240,8,6,0
378,2021-08-07,1,241,97,98,0
379,2021-04-24,2,241,99,8,81954
380,2021-04-24,3,241,99,8,79533
381,2020-05-26,2,241,100,8,1224
382,2020-05-26,3,241,100,8,1226
383,2020-01-08,9,241,6,97,719
384,2020-01-08,2,241,97,8,503
385,2020-01-08,8,241,8,8,719
386,2020-01-06,3,241,97,8,497
387,2020-01-06,2,241,97,8,426
388,2020-01-05,3,241,97,8,408
389,2020-01-05,2,241,97,8,340
390,2020-01-04,3,241,97,8,334
391,2020-01-04,2,241,97,8,267
392,2020-01-03,3,241,97,8,254
393,2020-01-02,3,241,24,8,127
394,2017-06-23,4,241,8,6,0
395,2023-12-16,1,242,101,102,0
396,2022-03-19,7,242,8,8,0
397,2022-03-18,8,242,8,8,249898
398,2021-07-31,7,242,8,8,0
399,2021-07-31,8,242,8,8,119700
400,2021-05-04,7,242,8,8,0
401,2021-05-04,7,242,8,8,0
402,2021-05-04,8,242,8,8,78427
403,2021-05-03,7,242,8,8,0
404,2021-05-03,8,242,8,8,132504
405,2021-05-03,7,242,8,8,0
406,2021-04-13,8,242,8,8,228219
407,2021-03-07,1,242,4,101,0
408,2021-03-05,1,242,5,4,0
409,2021-02-04,1,242,6,5,0
410,2017-06-23,4,242,8,6,0
411,2022-03-17,1,243,6,12,0
412,2017-06-23,4,243,8,6,0
413,2017-06-23,4,244,8,6,0
414,2022-03-17,1,245,6,12,0
415,2017-06-23,4,245,8,6,0
416,2023-12-08,1,246,103,104,0
417,2023-03-06,7,246,8,8,0
418,2022-06-20,8,246,8,8,136237
419,2022-04-24,1,246,105,103,0
420,2022-03-18,2,246,18,8,212208
421,2022-03-18,3,246,18,8,210352
422,2021-11-11,1,246,106,105,0
423,2021-08-28,7,246,8,8,0
424,2021-08-28,8,246,8,8,649090
425,2021-08-28,8,246,8,8,551810
426,2021-08-28,8,246,8,8,518564
427,2021-08-28,8,246,8,8,580148
428,2021-08-27,8,246,8,8,563137
429,2021-08-27,8,246,8,8,621559
430,2021-08-25,8,246,8,8,482965
431,2021-08-25,8,246,8,8,636682
432,2021-08-23,7,246,8,8,0
433,2021-08-01,8,246,8,8,259864
434,2021-08-01,7,246,8,8,0
435,2021-07-06,2,246,107,8,61473
436,2021-07-06,8,246,8,8,160725
437,2021-07-06,3,246,107,8,61912
438,2021-07-01,7,246,8,8,0
439,2021-06-29,8,246,8,8,74622
440,2021-06-18,8,246,8,8,86357
441,2021-05-20,8,246,8,8,103781
442,2021-05-10,8,246,8,8,167023
443,2021-05-10,2,246,107,8,128230
444,2021-05-09,3,246,107,8,122415
445,2021-05-09,2,246,107,8,127272
446,2021-05-08,8,246,8,8,134540
447,2021-05-08,3,246,107,8,115919
448,2021-05-08,2,246,107,8,113795
449,2021-05-08,8,246,8,8,130926
450,2021-05-08,3,246,107,8,113453
451,2021-05-08,2,246,107,8,111159
452,2021-05-07,8,246,8,8,132712
453,2021-05-07,3,246,107,8,111249
454,2021-05-07,2,246,107,8,107717
455,2021-05-07,8,246,8,8,140444
456,2021-05-07,3,246,107,8,104300
457,2021-05-05,8,246,8,8,150529
458,2021-05-03,8,246,8,8,219007
459,2021-03-07,1,246,4,106,0
460,2021-03-05,1,246,5,4,0
461,2021-02-04,1,246,6,5,0
462,2017-06-23,4,246,8,6,0
463,2019-03-25,2,247,25,8,47
464,2019-03-20,3,247,25,8,49
465,2017-06-23,4,247,8,6,0
466,2017-06-23,4,248,8,6,0
467,2021-04-25,1,249,108,109,0
468,2021-03-22,2,249,110,8,198690
469,2021-03-19,3,249,110,8,210630
470,2020-05-27,2,249,23,8,1962
471,2020-05-27,3,249,23,8,1962
472,2020-05-18,2,249,23,8,1082
473,2020-05-17,3,249,23,8,1034
474,2020-05-16,2,249,97,8,1207
475,2020-05-15,3,249,97,8,1223
476,2017-07-07,9,249,6,108,229
477,2017-07-07,8,249,8,8,229
478,2017-07-06,3,249,108,8,173
479,2017-06-26,3,249,9,8,13
480,2017-06-23,4,249,8,6,0
481,2017-06-23,4,250,8,6,0
482,2024-02-01,1,251,111,112,0
483,2024-01-23,1,251,113,111,0
484,2021-03-19,1,251,6,113,0
485,2017-06-23,4,251,8,6,0
486,2021-12-10,1,252,114,115,0
487,2021-12-10,9,252,116,114,279717
488,2021-12-10,3,252,114,8,279717
489,2021-12-10,8,252,8,8,295701
490,2021-12-10,2,252,117,8,286602
491,2021-12-10,3,252,117,8,287273
492,2021-12-10,8,252,8,8,311212
493,2021-12-10,8,252,8,8,333397
494,2021-12-09,8,252,8,8,344801
495,2021-12-09,8,252,8,8,374165
496,2021-12-06,8,252,8,8,377990
497,2021-12-04,8,252,8,8,533763
498,2021-11-18,8,252,8,8,664524
499,2021-11-16,5,252,13,116,0
500,2021-11-16,6,252,118,13,0
501,2021-11-16,1,252,119,118,0
502,2021-09-13,8,252,8,8,1.35M
503,2021-08-28,8,252,8,8,2.88M
504,2021-08-28,7,252,8,8,0
505,2021-08-28,8,252,8,8,2.89M
506,2021-08-28,5,252,13,119,0
507,2021-08-10,6,252,118,13,0
508,2021-08-10,1,252,119,118,0
509,2021-08-08,8,252,8,8,449888
510,2021-08-08,7,252,8,8,0
511,2021-08-01,8,252,8,8,218770
512,2021-08-01,9,252,120,119,109385
513,2021-08-01,8,252,8,8,110131
514,2021-08-01,7,252,8,8,0
515,2021-07-31,8,252,8,8,88630
516,2021-07-16,9,252,121,120,47723
517,2021-07-03,8,252,8,8,55204
518,2021-06-29,2,252,122,8,44141
519,2021-06-28,3,252,122,8,44638
520,2021-06-28,8,252,8,8,59083
521,2021-05-08,8,252,8,8,117751
522,2021-04-08,7,252,8,8,0
523,2021-03-22,8,252,8,8,62758
524,2021-03-21,8,252,8,8,71754
525,2021-03-07,1,252,4,121,0
526,2021-03-05,1,252,5,4,0
527,2021-02-04,1,252,6,5,0
528,2017-06-23,4,252,8,6,0
529,2022-03-17,1,253,6,12,0
530,2017-06-23,4,253,8,6,0
531,2022-03-17,1,254,6,12,0
532,2020-05-28,2,254,123,8,425
533,2020-05-26,3,254,123,8,407
534,2017-07-05,3,254,9,8,53
535,2017-07-05,3,254,10,8,53
536,2017-06-23,4,254,8,6,0
537,2023-02-14,3,255,124,8,32
538,2021-04-30,3,255,125,8,16
539,2021-03-05,1,255,5,4,0
540,2021-02-04,1,255,6,5,0
541,2017-06-23,4,255,8,6,0
542,2021-08-28,3,256,126,8,39
543,2021-08-28,3,256,127,8,16
544,2017-06-23,4,256,8,6,0
545,2022-03-28,9,257,128,129,269415
546,2022-03-27,8,257,8,8,253676
547,2022-03-26,8,257,8,8,256930
548,2022-03-26,2,257,130,8,251916
549,2022-03-25,3,257,130,8,252931
550,2022-03-25,2,257,130,8,251169
551,2022-03-25,3,257,130,8,250881
552,2022-03-25,2,257,130,8,249323
553,2022-03-24,8,257,8,8,261295
554,2022-03-24,3,257,130,8,243314
555,2022-03-24,8,257,8,8,264936
556,2022-03-21,8,257,8,8,270871
557,2022-03-20,1,257,131,128,0
558,2022-03-20,9,257,132,131,228689
559,2022-03-18,8,257,8,8,278737
560,2022-03-17,3,257,131,8,225486
561,2022-02-20,8,257,8,8,288520
562,2022-01-26,7,257,8,8,0
563,2022-01-04,8,257,8,8,375708
564,2021-10-04,1,257,133,132,0
565,2021-09-02,8,257,8,8,1.12M
566,2021-09-01,2,257,134,8,404795
567,2021-08-31,3,257,134,8,406705
568,2021-08-30,8,257,8,8,442067
569,2021-08-29,8,257,8,8,549953
570,2021-08-28,8,257,8,8,1.9M
571,2021-08-23,9,257,135,133,248103
572,2021-08-20,8,257,8,8,238654
573,2021-08-10,8,257,8,8,245486
574,2021-08-06,9,257,136,135,194321
575,2021-08-06,2,257,137,8,125688
576,2021-08-06,3,257,137,8,128340
577,2021-08-05,8,257,8,8,196645
578,2021-08-03,2,257,138,8,105063
579,2021-08-03,8,257,8,8,148900
580,2021-08-03,9,257,139,136,111694
581,2021-08-03,3,257,138,8,104868
582,2021-08-03,3,257,140,8,104744
583,2021-08-01,8,257,8,8,117998
584,2021-08-01,9,257,141,139,99642
585,2021-08-01,8,257,8,139,103822
586,2021-08-01,7,257,8,8,0
587,2021-08-01,3,257,139,8,98631
588,2021-08-01,8,257,8,8,109013
589,2021-08-01,8,257,8,8,112852
590,2021-06-30,1,257,142,141,0
591,2021-03-24,9,257,143,142,45177
592,2021-03-23,8,257,8,8,45799
593,2021-03-15,8,257,8,8,74795
594,2021-03-13,2,257,144,8,41304
595,2021-03-12,9,257,145,143,43159
596,2021-03-12,3,257,144,8,41749
597,2021-03-12,3,257,143,8,40150
598,2021-03-12,3,257,146,8,34959
599,2021-03-12,8,257,8,8,43270
600,2021-03-11,8,257,8,8,45005
601,2021-03-10,2,257,147,8,14432
602,2021-03-09,3,257,147,8,14735
603,2021-03-09,8,257,8,8,44330
604,2021-03-08,8,257,8,8,50617
605,2021-03-07,1,257,4,145,0
606,2021-03-05,1,257,5,4,0
607,2021-02-04,1,257,6,5,0
608,2017-06-23,4,257,8,6,0
609,2022-11-26,1,258,148,149,0
610,2022-11-26,9,258,150,148,96978
611,2022-11-26,8,258,8,148,96978
612,2022-11-26,7,258,8,8,0
613,2022-11-26,8,258,8,148,106676
614,2022-11-23,9,258,52,150,92662
615,2022-11-23,8,258,8,8,92779
616,2022-11-18,1,258,18,52,0
617,2022-11-17,9,258,151,18,89448
618,2022-11-17,8,258,8,8,89448
619,2022-11-17,8,258,8,8,112024
620,2021-08-23,1,258,152,151,0
621,2021-08-06,7,258,8,8,0
622,2021-08-06,8,258,8,8,173519
623,2021-08-04,8,258,8,8,157535
624,2021-07-31,9,258,18,152,83130
625,2021-07-31,8,258,8,8,83706
626,2021-07-30,8,258,8,8,75698
627,2021-07-30,9,258,153,18,56445
628,2021-07-30,8,258,8,8,56445
629,2021-07-30,8,258,8,8,61295
630,2021-07-05,1,258,154,153,0
631,2021-06-30,2,258,155,8,33480
